Gewerk;KG;Gewerkbudget netto;Kommentar
Abbrucharbeiten;300;;
Architekten;700;;
Aufzug;300;;
Bauhaupt;300;;
Behörden;700;;
Bodenbelagsarbeiten;300;;
Brandschutz;700;;
Dachdeckerarbeiten;300;;
Putzarbeiten;300;;Innenputz
Elektro;400;;
Fachplaner;700;;
Fenster;300;;
Fliesenleger;300;;
Gartenbau;500;;
Heizung Sanitär;400;;
Küchenbauer;300;;
Malerarbeiten;300;;
Sonstiges;300;;Brandw.Nachbar, Toreinfahrt, etc.
Schlosser;300;;
Statik;700;;
TGA-Planer;700;;
Tiefbau;300;;
Tischlerarbeiten;300;;
Trockenbau und Dämmarbeiten;300;;
Türen;300;;
Zimmererarbeiten;300;;
Estricharbeiten;300;;
Metallbau;300;;
Gerüstbau;300;;
